"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"12","tt0017925","Sun Jul 15 14:06:33 2012","Sun Jul 15 14:06:33 2012","","The General","Feature Film","Clyde Bruckman, Buster Keaton","8.3","107","1926","action, adventure, comedy, romance, war","29243","1926-12-31","http://www.imdb.com/title/tt0017925/"
"13","tt0012349","Sun Jul 15 14:10:14 2012","Sun Jul 15 14:10:14 2012","","The Kid","Feature Film","Charlie Chaplin","8.3","68","1921","comedy, drama, family","27006","1921-01-21","http://www.imdb.com/title/tt0012349/"
"14","tt0014429","Sun Jul 15 14:10:41 2012","Sun Jul 15 14:10:41 2012","","Safety Last!","Feature Film","Fred Neymeyer, Sam Taylor","8.2","","1923","comedy, romance, thriller","7650","1923-04-01","http://www.imdb.com/title/tt0014429/"
"15","tt0021749","Sun Jul 15 14:11:31 2012","Sun Jul 15 14:11:31 2012","","City Lights","Feature Film","Charles Chaplin","8.6","87","1931","comedy, drama, romance","49785","1931-01-30","http://www.imdb.com/title/tt0021749/"
"16","tt0107048","Sun Jul 15 14:12:41 2012","Sun Jul 15 14:12:41 2012","","Groundhog Day","Feature Film","Harold Ramis","8.1","101","1993","comedy, drama, fantasy, romance","229073","1993-02-12","http://www.imdb.com/title/tt0107048/"
"17","tt0023969","Sun Jul 15 14:12:52 2012","Sun Jul 15 14:12:52 2012","","Duck Soup","Feature Film","Leo McCarey","8.0","68","1933","comedy, musical","35259","1933-11-17","http://www.imdb.com/title/tt0023969/"
"18","tt0120382","Sun Jul 15 14:13:50 2012","Sun Jul 15 14:13:50 2012","","The Truman Show","Feature Film","Peter Weir","8.0","103","1998","comedy, drama, sci_fi","303327","1998-06-01","http://www.imdb.com/title/tt0120382/"
"19","tt1119646","Sun Jul 15 14:16:50 2012","Sun Jul 15 14:16:50 2012","","The Hangover","Feature Film","Todd Phillips","7.8","100","2009","comedy","295816","2009-05-30","http://www.imdb.com/title/tt1119646/"
"20","tt0018773","Sun Jul 15 14:17:05 2012","Sun Jul 15 14:17:05 2012","","The Circus","Feature Film","Charlie Chaplin","8.0","71","1928","comedy, romance","9118","1928-01-06","http://www.imdb.com/title/tt0018773/"
"21","tt0190590","Sun Jul 15 14:18:42 2012","Sun Jul 15 14:18:42 2012","","O Brother, Where Art Thou?","Feature Film","Joel Coen","7.8","106","2000","comedy, adventure, crime, music","137782","2000-05-13","http://www.imdb.com/title/tt0190590/"
"22","tt0095705","Sun Jul 15 14:20:46 2012","Sun Jul 15 14:20:46 2012","","The Naked Gun: From the Files of Police Squad!","Feature Film","David Zucker","7.6","85","1988","action, comedy, crime, romance","64418","1988-12-02","http://www.imdb.com/title/tt0095705/"
"23","tt0829482","Sun Jul 15 14:21:15 2012","Sun Jul 15 14:21:15 2012","","Superbad","Feature Film","Greg Mottola","7.7","113","2007","comedy","235589","2007-08-17","http://www.imdb.com/title/tt0829482/"
"24","tt0446029","Sun Jul 15 14:22:12 2012","Sun Jul 15 14:22:12 2012","","Scott Pilgrim vs. the World","Feature Film","Edgar Wright","7.6","112","2010","action, comedy, fantasy, romance","145324","2010-07-27","http://www.imdb.com/title/tt0446029/"
"25","tt1570728","Sun Jul 15 14:26:09 2012","Sun Jul 15 14:26:09 2012","","Crazy, Stupid, Love.","Feature Film","Glenn Ficarra, John Requa","7.5","118","2011","comedy, drama, romance","155318","2011-07-28","http://www.imdb.com/title/tt1570728/"
"26","tt0084805","Sun Jul 15 14:27:00 2012","Sun Jul 15 14:27:00 2012","","Tootsie","Feature Film","Sydney Pollack","7.4","116","1982","comedy, drama, romance","48674","1982-12-01","http://www.imdb.com/title/tt0084805/"
"27","tt0443453","Sun Jul 15 14:27:22 2012","Sun Jul 15 14:27:22 2012","","Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","Feature Film","Larry Charles","7.4","84","2006","comedy","193464","2006-08-04","http://www.imdb.com/title/tt0443453/"
"28","tt0057187","Sun Jul 15 14:31:30 2012","Sun Jul 15 14:31:30 2012","","Irma la Douce","Feature Film","Billy Wilder","7.3","147","1963","comedy, romance","8073","1963-06-05","http://www.imdb.com/title/tt0057187/"
"29","tt0032339","Sun Jul 15 14:32:28 2012","Sun Jul 15 14:32:28 2012","","A Chump at Oxford","Feature Film","Alfred Goulding","7.2","","1940","comedy","1614","1940-01-25","http://www.imdb.com/title/tt0032339/"
"30","tt0286112","Sun Jul 15 14:33:28 2012","Sun Jul 15 14:33:28 2012","","Shaolin Soccer","Feature Film","Stephen Chow","7.3","113","2001","action, comedy, sport","33762","2001-07-12","http://www.imdb.com/title/tt0286112/"
"31","tt0109686","Sun Jul 15 14:36:43 2012","Sun Jul 15 14:36:43 2012","","Dumb & Dumber","Feature Film","Peter Farrelly","7.2","107","1994","comedy","162134","1994-12-06","http://www.imdb.com/title/tt0109686/"
"32","tt0362227","Sun Jul 15 14:36:55 2012","Sun Jul 15 14:36:55 2012","","The Terminal","Feature Film","Steven Spielberg","7.2","128","2004","comedy, drama","155635","2004-06-09","http://www.imdb.com/title/tt0362227/"
"33","tt0099785","Sun Jul 15 14:37:01 2012","Sun Jul 15 14:37:01 2012","","Home Alone","Feature Film","Chris Columbus","7.2","103","1990","adventure, comedy, family","146863","1990-11-10","http://www.imdb.com/title/tt0099785/"
"34","tt0104431","Sun Jul 15 14:37:07 2012","Sun Jul 15 14:37:07 2012","","Home Alone 2: Lost in New York","Feature Film","Chris Columbus","6.2","120","1992","adventure, comedy, crime, family","92480","1992-11-15","http://www.imdb.com/title/tt0104431/"
"35","tt1149361","Sun Jul 15 14:37:22 2012","Sun Jul 15 14:37:22 2012","","Micmacs","Feature Film","Jean Pierre Jeunet","7.2","105","2009","comedy","14654","2009-09-15","http://www.imdb.com/title/tt1149361/"
"36","tt1178663","Sun Jul 15 14:38:15 2012","Sun Jul 15 14:38:15 2012","","Whatever Works","Feature Film","Woody Allen","7.2","92","2009","comedy, drama, romance","34680","2009-04-22","http://www.imdb.com/title/tt1178663/"
"37","tt0129387","Sun Jul 15 14:38:34 2012","Sun Jul 15 14:38:34 2012","","There's Something About Mary","Feature Film","Bobby Farrelly, Peter Farrelly","7.2","119","1998","comedy, romance","154663","1998-07-15","http://www.imdb.com/title/tt0129387/"
"38","tt0838221","Sun Jul 15 14:39:40 2012","Sun Jul 15 14:39:40 2012","","The Darjeeling Limited","Feature Film","Wes Anderson","7.1","91","2007","adventure, comedy, drama","75299","2007-08","http://www.imdb.com/title/tt0838221/"
"39","tt1605630","Sun Jul 15 14:40:15 2012","Sun Jul 15 14:40:15 2012","","American Reunion","Feature Film","Jon Hurwitz, Hayden Schlossberg","6.9","113","2012","comedy","83201","2012-04-04","http://www.imdb.com/title/tt1605630/"
"40","tt0416960","Sun Jul 15 14:42:01 2012","Sun Jul 15 14:42:01 2012","","The Lizard","Feature Film","Kamal Tabrizi","8.3","115","2004","comedy","2641","2004-02-04","http://www.imdb.com/title/tt0416960/"
"41","tt0078841","Sun Jul 15 14:59:50 2012","Sun Jul 15 14:59:50 2012","","Being There","Feature Film","Hal Ashby","8.0","130","1979","drama, comedy","34048","1979-12-19","http://www.imdb.com/title/tt0078841/"
"42","tt1411697","Sun Jul 15 15:01:38 2012","Sun Jul 15 15:01:38 2012","","The Hangover Part II","Feature Film","Todd Phillips","6.5","102","2011","comedy","170834","2011-05-25","http://www.imdb.com/title/tt1411697/"
"43","tt1605783","Sun Jul 15 15:01:53 2012","Sun Jul 15 15:01:53 2012","","Midnight in Paris","Feature Film","Woody Allen","7.7","94","2011","comedy, fantasy, romance","137682","2011-05-11","http://www.imdb.com/title/tt1605783/"
"44","tt0290002","Sun Jul 15 15:07:16 2012","Sun Jul 15 15:07:16 2012","","Meet the Fockers","Feature Film","Jay Roach","6.3","115","2004","comedy, romance","125391","2004-12-16","http://www.imdb.com/title/tt0290002/"
"45","tt0477347","Sun Jul 15 15:07:29 2012","Sun Jul 15 15:07:29 2012","","Night at the Museum","Feature Film","Shawn Levy","6.3","108","2006","action, adventure, comedy, family, fantasy","119391","2006-12-17","http://www.imdb.com/title/tt0477347/"
"46","tt0315327","Sun Jul 15 15:07:38 2012","Sun Jul 15 15:07:38 2012","","Bruce Almighty","Feature Film","Tom Shadyac","6.6","101","2003","comedy, drama, fantasy","162878","2003-05-23","http://www.imdb.com/title/tt0315327/"
"47","tt0107614","Sun Jul 15 15:13:22 2012","Sun Jul 15 15:13:22 2012","","Mrs. Doubtfire","Feature Film","Chris Columbus","6.7","125","1993","comedy, drama","94116","1993-11-24","http://www.imdb.com/title/tt0107614/"
"48","tt0396269","Sun Jul 15 15:13:53 2012","Sun Jul 15 15:13:53 2012","","Wedding Crashers","Feature Film","David Dobkin","7.0","119","2005","comedy, romance","166329","2005-07-13","http://www.imdb.com/title/tt0396269/"
"49","tt0207201","Sun Jul 15 15:14:30 2012","Sun Jul 15 15:14:30 2012","","What Women Want","Feature Film","Nancy Meyers","6.3","127","2000","comedy, fantasy, romance","95561","2000-12-13","http://www.imdb.com/title/tt0207201/"
"50","tt0119528","Sun Jul 15 15:14:40 2012","Sun Jul 15 15:14:40 2012","","Liar Liar","Feature Film","Tom Shadyac","6.7","86","1997","comedy, family","117844","1997-03-21","http://www.imdb.com/title/tt0119528/"
"51","tt0386588","Sun Jul 15 15:15:14 2012","Sun Jul 15 15:15:14 2012","","Hitch","Feature Film","Andy Tennant","6.6","118","2005","comedy, romance","137415","2005-02-10","http://www.imdb.com/title/tt0386588/"
"52","tt1375670","Sun Jul 15 15:16:02 2012","Sun Jul 15 15:16:02 2012","","Grown Ups","Feature Film","Dennis Dugan","5.8","102","2010","comedy","82199","2010-06-24","http://www.imdb.com/title/tt1375670/"
"53","tt0163651","Sun Jul 15 15:16:55 2012","Sun Jul 15 15:16:55 2012","","American Pie","Feature Film","Paul Weitz","7.0","95","1999","comedy, romance","191167","1999-07-09","http://www.imdb.com/title/tt0163651/"
"54","tt0252866","Sun Jul 15 15:17:00 2012","Sun Jul 15 15:17:00 2012","","American Pie 2","Feature Film","J.B. Rogers","6.3","108","2001","comedy, romance","120346","2001-08-06","http://www.imdb.com/title/tt0252866/"
"55","tt0337741","Sun Jul 15 15:18:32 2012","Sun Jul 15 15:18:32 2012","","Something's Gotta Give","Feature Film","Nancy Meyers","6.7","128","2003","comedy, romance","57749","2003-12-12","http://www.imdb.com/title/tt0337741/"
"56","tt0110475","Sun Jul 15 15:19:59 2012","Sun Jul 15 15:19:59 2012","","The Mask","Feature Film","Charles Russell","6.7","101","1994","action, comedy, crime, fantasy, romance","137553","1994-07-29","http://www.imdb.com/title/tt0110475/"
"57","tt0942385","Sun Jul 15 15:21:12 2012","Sun Jul 15 15:21:12 2012","","Tropic Thunder","Feature Film","Ben Stiller","7.0","107","2008","action, adventure, comedy","179013","2008-08-13","http://www.imdb.com/title/tt0942385/"
"58","tt0208003","Sun Jul 15 15:21:38 2012","Sun Jul 15 15:21:38 2012","","Big Momma's House","Feature Film","Raja Gosnell","4.8","98","2000","action, comedy, crime","39583","2000-05-31","http://www.imdb.com/title/tt0208003/"
"59","tt0369441","Sun Jul 15 15:21:57 2012","Sun Jul 15 15:21:57 2012","","Fun with Dick and Jane","Feature Film","Dean Parisot","6.0","90","2005","comedy, crime","69202","2005-12-21","http://www.imdb.com/title/tt0369441/"
"60","tt0112281","Sun Jul 15 15:22:17 2012","Sun Jul 15 15:22:17 2012","","Ace Ventura: When Nature Calls","Feature Film","Steve Oedekerk","6.0","90","1995","action, adventure, comedy, mystery","89671","1995-11-10","http://www.imdb.com/title/tt0112281/"
"61","tt0122933","Sun Jul 15 15:23:11 2012","Sun Jul 15 15:23:11 2012","","Analyze This","Feature Film","Harold Ramis","6.6","103","1999","comedy, crime","80426","1999-03-05","http://www.imdb.com/title/tt0122933/"
"62","tt0099492","Sun Jul 15 15:23:29 2012","Sun Jul 15 15:23:29 2012","","The Tenants","Feature Film","Dariush Mehrjui","7.2","109","1986","comedy","533","1986","http://www.imdb.com/title/tt0099492/"
"63","tt0328828","Sun Jul 15 15:23:44 2012","Sun Jul 15 15:23:44 2012","","American Wedding","Feature Film","Jesse Dylan","6.1","96","2003","comedy, romance","97449","2003-07-24","http://www.imdb.com/title/tt0328828/"
"64","tt0413099","Sun Jul 15 15:24:46 2012","Sun Jul 15 15:24:46 2012","","Evan Almighty","Feature Film","Tom Shadyac","5.4","96","2007","comedy, family, fantasy","71703","2007-06-21","http://www.imdb.com/title/tt0413099/"
"65","tt1068680","Sun Jul 15 15:24:55 2012","Sun Jul 15 15:24:55 2012","","Yes Man","Feature Film","Peyton Reed","6.9","104","2008","comedy, romance","149038","2008-12-09","http://www.imdb.com/title/tt1068680/"
"66","tt0175142","Sun Jul 15 15:25:07 2012","Sun Jul 15 15:25:07 2012","","Scary Movie","Feature Film","Keenen Ivory Wayans","6.1","88","2000","comedy","112549","2000-07-07","http://www.imdb.com/title/tt0175142/"
"67","tt0257106","Sun Jul 15 15:25:29 2012","Sun Jul 15 15:25:29 2012","","Scary Movie 2","Feature Film","Keenen Ivory Wayans","4.9","83","2001","comedy","71438","2001-07-04","http://www.imdb.com/title/tt0257106/"
"68","tt0306047","Sun Jul 15 15:25:38 2012","Sun Jul 15 15:25:38 2012","","Scary Movie 3","Feature Film","David Zucker","5.3","84","2003","comedy","68217","2003-10-20","http://www.imdb.com/title/tt0306047/"
"69","tt0362120","Sun Jul 15 15:25:50 2012","Sun Jul 15 15:25:50 2012","","Scary Movie 4","Feature Film","David Zucker","5.0","83","2006","comedy","59786","2006-04-12","http://www.imdb.com/title/tt0362120/"
"70","tt0116852","Sun Jul 15 15:27:21 2012","Sun Jul 15 15:27:21 2012","","Leily Ba Man Ast","Feature Film","Kamal Tabrizi","7.2","95","1996","adventure, comedy, war","754","1996","http://www.imdb.com/title/tt0116852/"
"71","tt0183505","Sun Jul 15 15:27:30 2012","Sun Jul 15 15:27:30 2012","","Me, Myself & Irene","Feature Film","Bobby Farrelly, Peter Farrelly","6.4","116","2000","comedy","111611","2000-06-15","http://www.imdb.com/title/tt0183505/"
"72","tt0368578","Sun Jul 15 15:27:39 2012","Sun Jul 15 15:27:39 2012","","Are We There Yet?","Feature Film","Brian Levant","4.2","95","2005","adventure, comedy, drama, family, romance","13490","2005-01-21","http://www.imdb.com/title/tt0368578/"
"73","tt0087928","Sun Jul 15 15:28:26 2012","Sun Jul 15 15:28:26 2012","","Police Academy","Feature Film","Hugh Wilson","6.5","96","1984","comedy, crime","48296","1984-03-23","http://www.imdb.com/title/tt0087928/"
"74","tt0838232","Sun Jul 15 15:29:12 2012","Sun Jul 15 15:29:12 2012","","The Pink Panther 2","Feature Film","Harald Zwart","5.3","92","2009","adventure, comedy, crime, mystery","18905","2009-02-05","http://www.imdb.com/title/tt0838232/"
"75","tt0810913","Sun Jul 15 15:30:06 2012","Sun Jul 15 15:30:06 2012","","Jack and Jill","Feature Film","Dennis Dugan","3.5","91","2011","comedy","29569","2011-11-11","http://www.imdb.com/title/tt0810913/"
"76","tt0109040","Sun Jul 15 15:30:35 2012","Sun Jul 15 15:30:35 2012","","Ace Ventura: Pet Detective","Feature Film","Tom Shadyac","6.8","86","1994","comedy","117226","1994-02-04","http://www.imdb.com/title/tt0109040/"
"77","tt0102059","Sun Jul 15 15:32:24 2012","Sun Jul 15 15:32:24 2012","","Hot Shots!","Feature Film","Jim Abrahams","6.6","84","1991","action, comedy, war","46993","1991-07-31","http://www.imdb.com/title/tt0102059/"
"78","tt0107144","Sun Jul 15 15:32:35 2012","Sun Jul 15 15:32:35 2012","","Hot Shots! Part Deux","Feature Film","Jim Abrahams","6.4","86","1993","action, comedy, war","39601","1993-05-21","http://www.imdb.com/title/tt0107144/"
"79","tt0119715","Sun Jul 15 15:35:37 2012","Sun Jul 15 15:35:37 2012","","Mousehunt","Feature Film","Gore Verbinski","6.2","98","1997","comedy, family","25598","1997-12-19","http://www.imdb.com/title/tt0119715/"
"80","tt0110622","Sun Jul 15 15:36:30 2012","Sun Jul 15 15:36:30 2012","","Naked Gun 33 1/3: The Final Insult","Feature Film","Peter Segal","6.2","83","1994","action, comedy, crime","44432","1994-03-18","http://www.imdb.com/title/tt0110622/"
"81","tt0102510","Sun Jul 15 15:36:52 2012","Sun Jul 15 15:36:52 2012","","The Naked Gun 2½: The Smell of Fear","Feature Film","David Zucker","6.7","85","1991","action, comedy, crime","47792","1991-06-28","http://www.imdb.com/title/tt0102510/"
"82","tt0118689","Sun Jul 15 15:37:45 2012","Sun Jul 15 15:37:45 2012","","Bean","Feature Film","Mel Smith","6.0","85","1997","comedy, family","44988","1997-07-03","http://www.imdb.com/title/tt0118689/"
"83","tt1385867","Sun Jul 15 15:38:43 2012","Sun Jul 15 15:38:43 2012","","Cop Out","Feature Film","Kevin Smith","5.6","107","2010","action, comedy, crime","46987","2010-02-25","http://www.imdb.com/title/tt1385867/"
"84","tt1045778","Sun Jul 15 15:39:44 2012","Sun Jul 15 15:39:44 2012","","Year One","Feature Film","Harold Ramis","4.9","97","2009","adventure, comedy","48187","2009-06-18","http://www.imdb.com/title/tt1045778/"
"85","tt0335245","Sun Jul 15 15:41:11 2012","Sun Jul 15 15:41:11 2012","","The Ladykillers","Feature Film","Ethan Coen, Joel Coen","6.1","104","2004","comedy, crime, thriller","55873","2004-03-26","http://www.imdb.com/title/tt0335245/"
"86","tt0453451","Sun Jul 15 15:43:14 2012","Sun Jul 15 15:43:14 2012","","Mr. Bean's Holiday","Feature Film","Steve Bendelack","6.1","90","2007","comedy, family","50136","2007-03-22","http://www.imdb.com/title/tt0453451/"
"87","tt0119654","Sun Jul 15 16:00:10 2012","Sun Jul 15 16:00:10 2012","","Men in Black","Feature Film","Barry Sonnenfeld","7.2","98","1997","comedy, sci_fi","219489","1997-07-02","http://www.imdb.com/title/tt0119654/"
"88","tt0295178","Sun Jul 15 16:01:07 2012","Sun Jul 15 16:01:07 2012","","Austin Powers in Goldmember","Feature Film","Jay Roach","6.1","94","2002","action, comedy, crime","105738","2002-07-22","http://www.imdb.com/title/tt0295178/"
"89","tt0367594","Sun Jul 15 16:02:23 2012","Sun Jul 15 16:02:23 2012","","Charlie and the Chocolate Factory","Feature Film","Tim Burton","6.8","115","2005","adventure, comedy, family, fantasy","173106","2005-07-10","http://www.imdb.com/title/tt0367594/"
"90","tt1478338","Sun Jul 15 16:03:56 2012","Sun Jul 15 16:03:56 2012","","Bridesmaids","Feature Film","Paul Feig","6.9","125","2011","comedy, romance","114702","2011-04-28","http://www.imdb.com/title/tt1478338/"
"91","tt0486946","Sun Jul 15 16:04:16 2012","Sun Jul 15 16:04:16 2012","","Wild Hogs","Feature Film","Walt Becker","5.9","100","2007","action, adventure, comedy","66209","2007-02-27","http://www.imdb.com/title/tt0486946/"
"92","tt1114740","Sun Jul 15 16:04:25 2012","Sun Jul 15 16:04:25 2012","","Paul Blart: Mall Cop","Feature Film","Steve Carr","5.2","91","2009","action, comedy, crime","44214","2009-01-06","http://www.imdb.com/title/tt1114740/"
"93","tt0795421","Sun Jul 15 16:04:37 2012","Sun Jul 15 16:04:37 2012","","Mamma Mia!","Feature Film","Phyllida Lloyd","6.3","108","2008","comedy, musical, romance","78799","2008-06-30","http://www.imdb.com/title/tt0795421/"
"94","tt0467406","Sun Jul 15 16:04:58 2012","Sun Jul 15 16:04:58 2012","","Juno","Feature Film","Jason Reitman","7.7","96","2007","comedy, drama, romance","246717","2007-09-01","http://www.imdb.com/title/tt0467406/"
"95","tt0343660","Sun Jul 15 16:07:40 2012","Sun Jul 15 16:07:40 2012","","50 First Dates","Feature Film","Peter Segal","6.8","99","2004","comedy, romance","143525","2004-02-13","http://www.imdb.com/title/tt0343660/"
"96","tt0045152","Sun Jul 15 16:08:20 2012","Sun Jul 15 16:08:20 2012","","Singin' in the Rain","Feature Film","Stanley Donen, Gene Kelly","8.4","103","1952","comedy, musical, romance","82490","1952-03-27","http://www.imdb.com/title/tt0045152/"
"97","tt0075686","Sun Jul 15 16:08:42 2012","Sun Jul 15 16:08:42 2012","","Annie Hall","Feature Film","Woody Allen","8.2","93","1977","comedy, drama, romance","103447","1977-04-20","http://www.imdb.com/title/tt0075686/"
"98","tt0057012","Sun Jul 15 16:08:56 2012","Sun Jul 15 16:08:56 2012","","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Feature Film","Stanley Kubrick","8.6","95","1964","comedy, war","214233","1964-01-29","http://www.imdb.com/title/tt0057012/"
"99","tt1675434","Sun Jul 15 16:09:39 2012","Sun Jul 15 16:09:39 2012","","The Intouchables","Feature Film","Olivier Nakache, Eric Toledano","8.6","112","2011","biography, comedy, drama","102332","2011-09-23","http://www.imdb.com/title/tt1675434/"
"100","tt0427327","Sun Jul 15 16:12:36 2012","Sun Jul 15 16:12:36 2012","","Hairspray","Feature Film","Adam Shankman","6.9","117","2007","comedy, musical, romance","60381","2007-07-13","http://www.imdb.com/title/tt0427327/"
