"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"30","tt1067583","Sun Oct  2 14:16:31 2011","Sun Oct  2 14:16:31 2011","","Water for Elephants","Feature Film","Francis Lawrence","6.9","120","2011","drama, romance","52128","2011-04-15","http://www.imdb.com/title/tt1067583/"
"31","tt0490084","Sun Oct  2 14:32:45 2011","Sun Oct  2 14:32:45 2011","","Because I Said So","Feature Film","Michael Lehmann","5.3","102","2007","comedy, romance","21106","2007-02-02","http://www.imdb.com/title/tt0490084/"
"32","tt0467406","Sun Oct  2 14:39:21 2011","Sun Oct  2 14:39:21 2011","","Juno","Feature Film","Jason Reitman","7.7","96","2007","comedy, drama, romance","246717","2007-09-01","http://www.imdb.com/title/tt0467406/"
"33","tt1041829","Sun Oct  2 14:40:19 2011","Sun Oct  2 14:40:19 2011","","The Proposal","Feature Film","Anne Fletcher","6.7","108","2009","comedy, drama, romance","104587","2009-06-01","http://www.imdb.com/title/tt1041829/"
"34","tt0077631","Sun Oct  2 14:41:06 2011","Sun Oct  2 14:41:06 2011","","Grease","Feature Film","Randal Kleiser","7.1","110","1978","musical, romance","90881","1978-06-13","http://www.imdb.com/title/tt0077631/"
"35","tt0343660","Sun Oct  2 14:33:23 2011","Sun Oct  2 14:33:23 2011","","50 First Dates","Feature Film","Peter Segal","6.8","99","2004","comedy, romance","143525","2004-02-13","http://www.imdb.com/title/tt0343660/"
"36","tt0832266","Sun Oct  2 14:46:50 2011","Sun Oct  2 14:46:50 2011","","Definitely, Maybe","Feature Film","Adam Brooks","7.2","112","2008","comedy, drama, romance","74425","2008-01-24","http://www.imdb.com/title/tt0832266/"
"37","tt0183790","Sun Oct  2 14:44:01 2011","Sun Oct  2 14:44:01 2011","","A Knight's Tale","Feature Film","Brian Helgeland","6.7","132","2001","action, adventure, drama, romance","81087","2001-03-08","http://www.imdb.com/title/tt0183790/"
"38","tt0092099","Sun Oct  2 14:33:57 2011","Sun Oct  2 14:33:57 2011","","Top Gun","Feature Film","Tony Scott","6.7","110","1986","action, drama, romance","124245","1986-05-12","http://www.imdb.com/title/tt0092099/"
"39","tt1216492","Sun Oct  2 14:43:24 2011","Sun Oct  2 14:43:24 2011","","Leap Year","Feature Film","Anand Tucker","6.1","100","2010","comedy, romance","31743","2010-01-06","http://www.imdb.com/title/tt1216492/"
"40","tt0457939","Sun Oct  2 14:45:18 2011","Sun Oct  2 14:45:18 2011","","The Holiday","Feature Film","Nancy Meyers","6.8","138","2006","comedy, romance","95940","2006-12-05","http://www.imdb.com/title/tt0457939/"
"41","tt1212436","Sun Oct  2 14:46:04 2011","Sun Oct  2 14:46:04 2011","","The Back-up Plan","Feature Film","Alan Poul","4.8","106","2010","comedy, romance","21836","2010-04-23","http://www.imdb.com/title/tt1212436/"
"42","tt0376541","Sun Oct  2 14:47:37 2011","Sun Oct  2 14:47:37 2011","","Closer","Feature Film","Mike Nichols","7.3","104","2004","drama, romance","112571","2004-12-03","http://www.imdb.com/title/tt0376541/"
"43","tt1230414","Sun Oct  2 14:47:47 2011","Sun Oct  2 14:47:47 2011","","It's Complicated","Feature Film","Nancy Meyers","6.6","120","2009","comedy, romance","41869","2009-12-10","http://www.imdb.com/title/tt1230414/"
"44","tt1046947","Sun Oct  2 14:47:58 2011","Sun Oct  2 14:47:58 2011","","Last Chance Harvey","Feature Film","Joel Hopkins","6.7","93","2008","drama, romance","12634","2008-11-08","http://www.imdb.com/title/tt1046947/"
"45","tt0181875","Sun Oct  2 14:52:59 2011","Sun Oct  2 14:52:59 2011","","Almost Famous","Feature Film","Cameron Crowe","7.9","122","2000","biography, drama, music","132711","2000-09-08","http://www.imdb.com/title/tt0181875/"
"46","tt0116695","Sun Oct  2 14:53:39 2011","Sun Oct  2 14:53:39 2011","","Jerry Maguire","Feature Film","Cameron Crowe","7.2","139","1996","comedy, drama, romance, sport","115322","1996-12-06","http://www.imdb.com/title/tt0116695/"
"47","tt0119822","Sun Oct  2 14:55:35 2011","Sun Oct  2 14:55:35 2011","","As Good as It Gets","Feature Film","James L. Brooks","7.8","139","1997","comedy, drama, romance","143880","1997-12-19","http://www.imdb.com/title/tt0119822/"
"48","tt0988595","Sun Oct  2 14:56:13 2011","Sun Oct  2 14:56:13 2011","","27 Dresses","Feature Film","Anne Fletcher","6.0","111","2008","comedy, romance","61658","2008-01-09","http://www.imdb.com/title/tt0988595/"
"49","tt0163978","Sun Oct  2 14:56:34 2011","Sun Oct  2 14:56:34 2011","","The Beach","Feature Film","Danny Boyle","6.4","119","2000","adventure, drama, romance, thriller","94163","2000-02-02","http://www.imdb.com/title/tt0163978/"
"50","tt0110322","Sun Oct  2 14:56:59 2011","Sun Oct  2 14:56:59 2011","","Legends of the Fall","Feature Film","Edward Zwick","7.3","133","1994","drama, romance, war, western","64373","1994-12-16","http://www.imdb.com/title/tt0110322/"
"51","tt0251127","Sun Oct  2 14:57:30 2011","Sun Oct  2 14:57:30 2011","","How to Lose a Guy in 10 Days","Feature Film","Donald Petrie","6.2","116","2003","comedy, romance","73870","2003-01-27","http://www.imdb.com/title/tt0251127/"
"52","tt0119643","Sun Oct  2 15:10:08 2011","Sun Oct  2 15:10:08 2011","","Meet Joe Black","Feature Film","Martin Brest","7.0","178","1998","drama, fantasy, mystery, romance","98225","1998-11-02","http://www.imdb.com/title/tt0119643/"
"53","tt0391304","Sun Oct  2 15:10:31 2011","Sun Oct  2 15:10:31 2011","","A Lot Like Love","Feature Film","Nigel Cole","6.4","107","2005","comedy, drama, romance","35202","2005-04-21","http://www.imdb.com/title/tt0391304/"
"54","tt0125439","Sun Oct  2 15:11:14 2011","Sun Oct  2 15:11:14 2011","","Notting Hill","Feature Film","Roger Michell","6.9","124","1999","comedy, romance","112236","1999-05-13","http://www.imdb.com/title/tt0125439/"
"55","tt0098258","Sun Oct  2 15:12:01 2011","Sun Oct  2 15:12:01 2011","","Say Anything...","Feature Film","Cameron Crowe","7.4","100","1989","comedy, drama, romance","38722","1989-04-14","http://www.imdb.com/title/tt0098258/"
"56","tt0223897","Sun Oct  2 15:12:24 2011","Sun Oct  2 15:12:24 2011","","Pay It Forward","Feature Film","Mimi Leder","6.9","123","2000","drama","60187","2000-10-12","http://www.imdb.com/title/tt0223897/"
"57","tt0427229","Sun Oct  2 15:12:52 2011","Sun Oct  2 15:12:52 2011","","Failure to Launch","Feature Film","Tom Dey","5.5","97","2006","comedy, romance","33963","2006-03-10","http://www.imdb.com/title/tt0427229/"
"58","tt0356680","Sun Oct  2 15:13:03 2011","Sun Oct  2 15:13:03 2011","","The Family Stone","Feature Film","Thomas Bezucha","6.2","103","2005","comedy, drama, romance","33298","2005-11-26","http://www.imdb.com/title/tt0356680/"
"59","tt0098635","Sun Oct  2 15:14:15 2011","Sun Oct  2 15:14:15 2011","","When Harry Met Sally...","Feature Film","Rob Reiner","7.6","96","1989","comedy, drama, romance","86256","1989-07-12","http://www.imdb.com/title/tt0098635/"
"60","tt0343135","Sun Oct  2 15:14:57 2011","Sun Oct  2 15:14:57 2011","","Along Came Polly","Feature Film","John Hamburg","5.8","90","2004","comedy, romance","67311","2004-01-12","http://www.imdb.com/title/tt0343135/"
"61","tt0108160","Sun Oct  2 15:15:21 2011","Sun Oct  2 15:15:21 2011","","Sleepless in Seattle","Feature Film","Nora Ephron","6.7","105","1993","comedy, romance, drama","72530","1993-06-25","http://www.imdb.com/title/tt0108160/"
"62","tt0120211","Sun Oct  2 16:09:20 2011","Sun Oct  2 16:09:20 2011","","Still Breathing","Feature Film","James F. Robinson","6.6","109","1997","comedy, drama, romance, fantasy","1505","1997-09","http://www.imdb.com/title/tt0120211/"
"63","tt0146882","Sun Oct  2 15:15:50 2011","Sun Oct  2 15:15:50 2011","","High Fidelity","Feature Film","Stephen Frears","7.6","113","2000","comedy, drama, music, romance","96149","2000-03-17","http://www.imdb.com/title/tt0146882/"
"64","tt0337741","Sun Oct  2 15:16:22 2011","Sun Oct  2 15:16:22 2011","","Something's Gotta Give","Feature Film","Nancy Meyers","6.7","128","2003","comedy, romance","57749","2003-12-12","http://www.imdb.com/title/tt0337741/"
"65","tt0108451","Sun Oct  2 15:18:41 2011","Sun Oct  2 15:18:41 2011","","Untamed Heart","Feature Film","Tony Bill","6.6","102","1993","drama, romance, comedy","7264","1993-02-12","http://www.imdb.com/title/tt0108451/"
"66","tt0103855","Sun Oct  2 15:19:28 2011","Sun Oct  2 15:19:28 2011","","The Bodyguard","Feature Film","Mick Jackson","5.8","129","1992","drama, music, romance, thriller","53579","1992-11-25","http://www.imdb.com/title/tt0103855/"
"67","tt0401445","Sun Oct  2 15:19:37 2011","Sun Oct  2 15:19:37 2011","","A Good Year","Feature Film","Ridley Scott","6.8","118","2006","comedy, drama, romance","40981","2006-09-09","http://www.imdb.com/title/tt0401445/"
"68","tt0276751","Sun Oct  2 15:20:10 2011","Sun Oct  2 15:20:10 2011","","About a Boy","Feature Film","Chris Weitz, Paul Weitz","7.2","101","2002","comedy, drama, romance","87746","2002-04-26","http://www.imdb.com/title/tt0276751/"
"69","tt0259446","Sun Oct  2 15:20:35 2011","Sun Oct  2 15:20:35 2011","","My Big Fat Greek Wedding","Feature Film","Joel Zwick","6.5","95","2002","comedy, romance","67220","2002-02-22","http://www.imdb.com/title/tt0259446/"
"70","tt0120888","Sun Oct  2 15:21:04 2011","Sun Oct  2 15:21:04 2011","","The Wedding Singer","Feature Film","Frank Coraci","6.8","95","1998","comedy, romance, music","70209","1998-02-13","http://www.imdb.com/title/tt0120888/"
"71","tt0240890","Sun Oct  2 15:21:11 2011","Sun Oct  2 15:21:11 2011","","Serendipity","Feature Film","Peter Chelsom","6.7","90","2001","comedy, romance, fantasy","52862","2001-09-13","http://www.imdb.com/title/tt0240890/"
"72","tt0230838","Sun Oct  2 15:22:27 2011","Sun Oct  2 15:22:27 2011","","Sweet November","Feature Film","Pat O'Connor","6.3","119","2001","drama, romance","40116","2001-02-12","http://www.imdb.com/title/tt0230838/"
"73","tt0118842","Sun Oct  2 15:23:17 2011","Sun Oct  2 15:23:17 2011","","Chasing Amy","Feature Film","Kevin Smith","7.4","113","1997","comedy, drama, romance","81157","1997-01-23","http://www.imdb.com/title/tt0118842/"
"74","tt0093737","Sun Oct  2 15:54:13 2011","Sun Oct  2 15:54:13 2011","","The Pick-up Artist","Feature Film","James Toback","4.8","81","1987","comedy, crime, romance","3076","1987-09-18","http://www.imdb.com/title/tt0093737/"
"75","tt0094889","Sun Oct  2 15:45:36 2011","Sun Oct  2 15:45:36 2011","","Cocktail","Feature Film","Roger Donaldson","5.5","104","1988","drama, romance","36190","1988-07-29","http://www.imdb.com/title/tt0094889/"
"76","tt0097044","Sun Oct  2 15:56:16 2011","Sun Oct  2 15:56:16 2011","","Chances Are","Feature Film","Emile Ardolino","6.2","108","1989","comedy, fantasy, romance","5445","1989-03-10","http://www.imdb.com/title/tt0097044/"
"77","tt0101787","Sun Oct  2 16:00:30 2011","Sun Oct  2 16:00:30 2011","","Dying Young","Feature Film","Joel Schumacher","5.5","111","1991","drama, romance","7620","1991-06-21","http://www.imdb.com/title/tt0101787/"
"78","tt0105415","Sun Oct  2 15:59:34 2011","Sun Oct  2 15:59:34 2011","","Singles","Feature Film","Cameron Crowe","6.5","99","1992","comedy, romance","15866","1992-09-18","http://www.imdb.com/title/tt0105415/"
"79","tt0105323","Sun Oct  2 16:09:45 2011","Sun Oct  2 16:09:45 2011","","Scent of a Woman","Feature Film","Martin Brest","7.8","157","1992","drama","104821","1992-12-23","http://www.imdb.com/title/tt0105323/"
"80","tt0110737","Sun Oct  2 15:57:33 2011","Sun Oct  2 15:57:33 2011","","Only You","Feature Film","Norman Jewison","6.2","115","1994","comedy, romance","9476","1994-09-17","http://www.imdb.com/title/tt0110737/"
"81","tt0118001","Sun Oct  2 16:06:51 2011","Sun Oct  2 16:06:51 2011","","Two Much","Feature Film","Fernando Trueba","5.1","118","1995","comedy, romance","3168","1995-12-01","http://www.imdb.com/title/tt0118001/"
"82","tt0114924","Sun Oct  2 15:45:52 2011","Sun Oct  2 15:45:52 2011","","While You Were Sleeping","Feature Film","Jon Turteltaub","6.5","103","1995","comedy, romance","41659","1995-04-21","http://www.imdb.com/title/tt0114924/"
"83","tt0112579","Sun Oct  2 16:01:52 2011","Sun Oct  2 16:01:52 2011","","The Bridges of Madison County","Feature Film","Clint Eastwood","7.4","135","1995","drama, romance","33097","1995-06-02","http://www.imdb.com/title/tt0112579/"
"84","tt0166485","Sun Oct  2 15:50:28 2011","Sun Oct  2 15:50:28 2011","","Anna and the King","Feature Film","Andy Tennant","6.5","148","1999","comedy, drama, history, romance","21194","1999-12-06","http://www.imdb.com/title/tt0166485/"
"85","tt0124298","Sun Oct  2 16:09:36 2011","Sun Oct  2 16:09:36 2011","","Blast from the Past","Feature Film","Hugh Wilson","6.4","112","1999","comedy, drama, romance, sci_fi","31864","1999-01-27","http://www.imdb.com/title/tt0124298/"
"86","tt0120596","Sun Oct  2 16:10:01 2011","Sun Oct  2 16:10:01 2011","","The Bachelor","Feature Film","Gary Sinyor","4.8","101","1999","romance, comedy","11043","1999-11-03","http://www.imdb.com/title/tt0120596/"
"87","tt0218967","Sun Oct  2 15:43:16 2011","Sun Oct  2 15:43:16 2011","","The Family Man","Feature Film","Brett Ratner","6.6","125","2000","comedy, drama, romance","55483","2000-12-12","http://www.imdb.com/title/tt0218967/"
"88","tt0171433","Sun Oct  2 16:04:47 2011","Sun Oct  2 16:04:47 2011","","Keeping the Faith","Feature Film","Edward Norton","6.4","128","2000","comedy, drama, romance","33800","2000-04-05","http://www.imdb.com/title/tt0171433/"
"89","tt0209475","Sun Oct  2 15:40:48 2011","Sun Oct  2 15:40:48 2011","","The Wedding Planner","Feature Film","Adam Shankman","4.9","103","2001","comedy, romance","33453","2001-01-26","http://www.imdb.com/title/tt0209475/"
"90","tt0243155","Sun Oct  2 15:48:42 2011","Sun Oct  2 15:48:42 2011","","Bridget Jones's Diary","Feature Film","Sharon Maguire","6.7","97","2001","comedy, drama, romance","96822","2001-04-04","http://www.imdb.com/title/tt0243155/"
"91","tt0244970","Sun Oct  2 15:52:13 2011","Sun Oct  2 15:52:13 2011","","Someone Like You...","Feature Film","Tony Goldwyn","5.9","97","2001","comedy, romance","13203","2001-03-30","http://www.imdb.com/title/tt0244970/"
"92","tt0253867","Sun Oct  2 15:35:24 2011","Sun Oct  2 15:35:24 2011","","The Sweetest Thing","Feature Film","Roger Kumble","4.8","88","2002","comedy, romance","32135","2002-04-12","http://www.imdb.com/title/tt0253867/"
"93","tt0305711","Sun Oct  2 15:24:10 2011","Sun Oct  2 15:24:10 2011","","Just Married","Feature Film","Shawn Levy","5.3","95","2003","comedy, romance","35629","2003-01-08","http://www.imdb.com/title/tt0305711/"
"94","tt0361841","Sun Oct  2 16:03:34 2011","Sun Oct  2 16:03:34 2011","","Little Black Book","Feature Film","Nick Hurran","5.2","111","2004","comedy, romance, drama","10453","2004-08-06","http://www.imdb.com/title/tt0361841/"
"95","tt0347048","Sun Oct  2 15:37:19 2011","Sun Oct  2 15:37:19 2011","","Head-On","Feature Film","Fatih Akin","7.9","121","2004","drama, romance","26154","2004-02-12","http://www.imdb.com/title/tt0347048/"
"96","tt0368709","Sun Oct  2 15:38:22 2011","Sun Oct  2 15:38:22 2011","","Elizabethtown","Feature Film","Cameron Crowe","6.3","123","2005","comedy, drama, romance","42370","2005-09-04","http://www.imdb.com/title/tt0368709/"
"97","tt0388125","Sun Oct  2 15:40:19 2011","Sun Oct  2 15:40:19 2011","","In Her Shoes","Feature Film","Curtis Hanson","6.6","130","2005","comedy, drama, romance","33992","2005-09-14","http://www.imdb.com/title/tt0388125/"
"98","tt0809504","Sun Oct  2 15:35:51 2011","Sun Oct  2 15:35:51 2011","","The Accidental Husband","Feature Film","Griffin Dunne","5.4","90","2008","comedy, romance","12189","2008-02-13","http://www.imdb.com/title/tt0809504/"
"99","tt1135503","Sun Oct  2 15:21:43 2011","Sun Oct  2 15:21:43 2011","","Julie & Julia","Feature Film","Nora Ephron","7.0","123","2009","biography, drama, romance","44423","2009-07-30","http://www.imdb.com/title/tt1135503/"
"100","tt1028532","Sun Oct  2 15:52:00 2011","Sun Oct  2 15:52:00 2011","","Hachi: A Dog's Tale","Feature Film","Lasse Hallström","8.1","93","2009","drama, family","40509","2009-06-13","http://www.imdb.com/title/tt1028532/"
